ml_egap_type,ml_egap,ml_energy_per_atom,ml_ael_bulk_modulus_vrh,ml_ael_shear_modulus_vrh,ml_agl_debye,ml_agl_heat_capacity_Cp_300K,ml_agl_heat_capacity_Cp_300K_per_atom,ml_agl_heat_capacity_Cv_300K,ml_agl_heat_capacity_Cv_300K_per_atom,ml_agl_thermal_conductivity_300K,ml_agl_thermal_expansion_300K,full_formula,material_id
Insulator,3.51,-7.01,37.512,50.368,653.776,134.347,2.322,127.429,2.322,2.585,6.531e-05,K8Be4C16O32,mp-557246
Insulator,1.652,-2.507,3.63,4.504,106.97,90.981,3.354,90.259,2.999,3.039,4.89e-05,Cs6Sb4I18,mp-23029
Insulator,2.011,-2.588,3.693,4.441,106.897,92.853,3.369,93.003,3.001,3.046,5.469e-05,Cs6Bi4I18,mp-624214
Insulator,3.497,-6.917,94.633,48.205,357.317,50.434,2.911,51.465,2.796,2.773,5.179e-05,Ba6Si2O10,mp-7765
Insulator,4.386,-8.011,178.219,123.291,847.341,52.652,2.03,50.621,1.996,2.924,6.114e-05,Sc4Si4O14,mp-7640
Insulator,2.598,-6.737,171.74,82.079,571.365,52.527,2.54,50.819,2.476,2.66,6.073e-05,In4Si4O14,mp-19784
Metal,0.0,-7.794,180.08,94.9,671.208,25.035,2.361,25.092,2.325,2.711,6.107e-05,V4O6,mp-18937
Insulator,2.369,-5.342,90.465,51.173,526.497,67.829,2.601,66.126,2.549,2.545,6.543e-05,Li8Te4O16,mp-13843
Insulator,2.981,-6.657,63.601,37.676,491.03,53.558,2.722,51.202,2.596,2.583,5.992e-05,K4V4O12,mp-18815
Insulator,2.946,-5.856,73.641,53.263,743.881,85.488,2.284,84.701,2.193,2.87,6.007e-05,V4H16N4O12,mp-743581
Insulator,3.006,-6.637,47.092,28.235,390.021,54.305,2.849,52.12,2.7,2.541,5.998e-05,Rb4V4O12,mp-19031
Insulator,3.027,-6.657,35.597,26.252,319.779,55.658,2.912,53.739,2.79,2.565,5.16e-05,Cs4V4O12,mp-504651
Insulator,2.137,-5.035,66.006,49.131,483.073,136.038,2.736,132.752,2.605,2.707,5.984e-05,Na16Te8O32,mp-560613
Insulator,0.752,-7.713,46.795,18.892,485.025,29.301,2.694,28.994,2.586,2.788,6.021e-05,V4O8,mp-636746
Insulator,0.74,-7.725,47.082,20.012,485.687,29.093,2.691,28.84,2.585,2.794,6.021e-05,V4O8,mp-714931
Insulator,0.707,-7.58,47.437,16.347,476.972,29.153,2.72,28.949,2.584,2.712,6.021e-05,V4O8,mp-559445
Insulator,2.632,-4.596,43.11,36.16,423.088,61.423,2.863,59.811,2.696,3.607,6.324e-05,Na4Fe2Ni2F14,mp-561395
Insulator,5.37,-5.411,28.933,28.954,913.888,106.945,2.052,101.615,1.996,2.86,6.832e-05,H26S4N6O16,mp-721299
Insulator,3.601,-4.381,48.482,25.449,295.527,100.747,3.012,95.794,2.846,3.228,6.321e-05,Rb8In12F44,mp-554576
Insulator,3.457,-8.361,123.289,81.789,521.623,26.071,2.655,26.372,2.592,2.686,6.047e-05,Sr2Zr2O6,mp-5076
Insulator,4.916,-5.352,28.015,20.018,557.632,128.332,2.51,116.023,2.48,2.543,5.931e-05,Na8H16S8O32,mp-721314
Insulator,2.55,-5.102,41.24,31.563,333.275,24.683,2.888,25.257,2.79,3.649,5.449e-05,K2Re1F6,mp-7824
Insulator,5.062,-4.712,14.224,22.735,548.092,134.114,2.558,128.387,2.484,3.259,5.719e-05,Ca6H48Cl12O24,mp-720571
Insulator,3.913,-5.288,16.186,18.273,632.542,145.228,2.386,131.583,2.362,2.514,5.913e-05,Ca8H32N8Cl8O40,mp-720586
